State or Region,Institution Sector,sector_sort,Fall_2003_Active,Fall_2003_IPEDS_Universe,Fall_2004_Active,Fall_2004_IPEDS_Universe,Fall_2005_Active,Fall_2005_IPEDS_Universe,Fall_2006_Active,Fall_2006_IPEDS_Universe,Fall_2007_Active,Fall_2007_IPEDS_Universe,Fall_2008_Active,Fall_2008_IPEDS_Universe,Fall_2009_Active,Fall_2009_IPEDS_Universe,Fall_2010_Active,Fall_2010_IPEDS_Universe,Fall_2011_Active,Fall_2011_IPEDS_Universe,Fall_2012_Active,Fall_2012_IPEDS_Universe,Fall_2013_Active,Fall_2013_IPEDS_Universe,Fall_2014_Active,Fall_2014_IPEDS_Universe,Fall_2015_Active,Fall_2015_IPEDS_Universe,Fall_2016_Active,Fall_2016_IPEDS_Universe,Fall_2017_Active,Fall_2017_IPEDS_Universe,Fall_2018_Active,Fall_2018_IPEDS_Universe,Fall_2019_Active,Fall_2019_IPEDS_Universe,Fall_2020_Active*,Fall_2020_IPEDS_Universe*,(* estimated)
United States,Overall,1,"14,627,056","16,900,471","15,082,514","17,272,044","15,407,033","17,487,475","15,812,183","17,758,870","16,534,203","18,248,128","17,470,427","19,102,814","18,763,926","20,427,711","19,429,494","21,015,822","19,547,923","20,993,819","19,543,113","20,901,570","19,601,913","20,630,064","19,662,375","20,462,890","19,549,545","20,225,009","19,439,954","20,082,728","19,350,978","19,954,453","19,319,822","19,858,177","19,269,812","19,837,533","19,299,349","19,837,533",
United States,All 4-year Institutions,2,"9,151,318","10,407,553","9,544,909","10,726,181","9,831,316","10,999,420","10,102,536","11,229,348","10,641,905","11,617,596","11,149,128","12,119,747","11,939,012","12,895,328","12,357,984","13,335,251","12,577,109","13,494,131","12,754,081","13,696,094","12,948,694","13,624,091","13,202,762","13,708,688","13,276,262","13,701,264","13,553,520","13,963,733","13,594,788","13,987,440","13,745,809","14,093,457","13,865,034","14,227,657","13,894,571","14,227,657",
United States,All 2-year Institutions,3,"5,475,738","6,492,918","5,537,605","6,545,863","5,575,717","6,488,055","5,709,647","6,529,522","5,892,298","6,630,532","6,321,299","6,983,067","6,824,914","7,532,383","7,071,510","7,680,571","6,970,814","7,499,688","6,789,032","7,205,476","6,653,219","7,005,973","6,459,613","6,754,202","6,273,283","6,523,745","5,886,434","6,118,995","5,756,190","5,967,013","5,574,013","5,764,720","5,404,778","5,609,876","5,404,778","5,609,876",
United States,All Public Institutions,4,"11,553,404","12,857,059","11,807,868","12,980,112","11,997,904","13,021,834","12,264,081","13,180,133","12,760,517","13,490,780","13,411,153","13,972,153","14,317,699","14,810,642","14,846,004","15,142,809","14,884,454","15,110,196","14,760,829","14,958,712","14,695,349","14,823,694","14,630,860","14,732,731","14,565,871","14,648,230","14,579,029","14,664,481","14,519,692","14,597,225","14,499,421","14,565,523","14,461,211","14,531,760","14,461,901","14,531,760",
United States,"All Private, not-for-profit Institutions",5,"2,756,017","3,340,718","2,848,839","3,411,685","2,911,161","3,454,692","3,021,056","3,512,866","3,158,417","3,571,150","3,282,045","3,661,519","3,461,285","3,765,083","3,558,894","3,854,616","3,621,616","3,926,892","3,762,067","4,091,991","3,828,788","4,108,323","3,914,579","4,127,416","3,987,757","4,190,232","3,990,575","4,199,601","4,025,103","4,224,405","4,171,920","4,369,265","4,187,102","4,386,954","4,194,283","4,386,954",
United States,"All Private, for-profit Institutions",6,"317,635","702,694","425,807","880,247","497,968","1,010,949","527,046","1,065,871","615,269","1,186,198","777,229","1,469,142","984,942","1,851,986","1,024,596","2,018,397","1,041,853","1,956,731","1,020,217","1,850,867","1,077,776","1,698,047","1,116,936","1,602,743","995,917","1,386,547","870,350","1,218,646","806,183","1,132,823","648,481","923,389","621,499","918,819","643,165","918,819",
United States,"Public, 4-year",7,"6,116,679","6,649,441","6,307,972","6,736,536","6,456,910","6,837,605","6,590,123","6,944,031","6,908,384","7,154,059","7,139,587","7,320,120","7,551,014","7,698,220","7,829,659","7,924,771","7,987,733","8,047,729","8,058,505","8,161,184","8,121,759","8,188,948","8,272,865","8,325,865","8,379,435","8,423,597","8,765,217","8,814,735","8,832,680","8,883,001","8,971,283","9,012,371","9,087,786","9,127,763","9,088,476","9,127,763",
United States,"Private, not-for-profit, 4-year",8,"2,738,099","3,296,882","2,831,832","3,369,435","2,892,709","3,411,170","3,002,301","3,473,710","3,146,953","3,537,664","3,269,846","3,626,168","3,449,119","3,730,316","3,547,545","3,822,260","3,609,484","3,887,322","3,749,204","4,053,828","3,816,164","4,076,393","3,902,034","4,096,649","3,967,314","4,139,628","3,971,314","4,148,489","4,010,840","4,175,922","4,158,571","4,324,290","4,174,484","4,342,494","4,181,665","4,342,494",
United States,"Private, for-profit, 4-year",9,"296,540","461,230","405,105","620,210","481,697","750,645","510,112","811,607","586,568","925,873","739,695","1,173,459","938,879","1,466,792","980,780","1,588,220","979,892","1,559,080","946,372","1,481,082","1,010,771","1,358,750","1,027,863","1,286,174","929,513","1,138,039","816,989","1,000,509","751,268","928,517","615,955","756,796","602,764","757,400","624,430","757,400",
United States,"Public, 2-year",10,"5,436,725","6,207,618","5,499,896","6,243,576","5,540,994","6,184,229","5,673,958","6,236,102","5,852,133","6,336,721","6,271,566","6,652,033","6,766,685","7,112,422","7,016,345","7,218,038","6,896,721","7,062,467","6,702,324","6,797,528","6,573,590","6,634,746","6,357,995","6,406,866","6,186,436","6,224,633","5,813,812","5,849,746","5,687,012","5,714,224","5,528,138","5,553,152","5,373,425","5,403,997","5,373,425","5,403,997",
United States,"Private, not-for-profit, 2-year",11,"17,918","43,836","17,007","42,250","18,452","43,522","18,755","39,156","11,464","33,486","12,199","35,351","12,166","34,767","11,349","32,356","12,132","39,570","12,863","38,163","12,624","31,930","12,545","30,767","20,443","50,604","19,261","51,112","14,263","48,483","13,349","44,975","12,618","44,460","12,618","44,460",
United States,"Private, for-profit, 2-year",12,"21,095","241,464","20,702","260,037","16,271","260,304","16,934","254,264","28,701","260,325","37,534","295,683","46,063","385,194","43,816","430,177","61,961","397,651","73,845","369,785","67,005","339,297","89,073","316,569","66,404","248,508","53,361","218,137","54,915","204,306","32,526","166,593","18,735","161,419","18,735","161,419",
Midwest,Overall,1,"3,565,570","4,072,423","3,664,176","4,125,690","3,727,245","4,192,650","3,810,646","4,244,473","4,018,776","4,331,458","4,158,463","4,485,497","4,492,825","4,821,998","4,660,642","4,998,147","4,606,959","4,912,755","4,520,397","4,769,303","4,534,102","4,696,579","4,475,750","4,592,624","4,381,338","4,481,555","4,255,513","4,356,817","4,165,985","4,241,474","4,110,727","4,174,087","4,061,347","4,128,924","4,063,756","4,128,924",
Midwest,All 4-year Institutions,2,"2,267,233","2,662,290","2,356,518","2,711,825","2,424,633","2,798,087","2,488,467","2,837,576","2,684,094","2,921,773","2,768,275","3,014,681","2,959,542","3,194,234","3,094,781","3,337,022","3,069,213","3,294,792","3,043,542","3,234,557","3,103,823","3,217,864","3,115,874","3,193,141","3,093,973","3,155,581","3,027,721","3,093,731","2,959,178","3,008,635","2,935,828","2,977,988","2,928,482","2,968,060","2,930,891","2,968,060",
Midwest,All 2-year Institutions,3,"1,298,337","1,410,133","1,307,658","1,413,865","1,302,612","1,394,563","1,322,179","1,406,897","1,334,682","1,409,685","1,390,188","1,470,816","1,533,283","1,627,764","1,565,861","1,661,125","1,537,746","1,617,963","1,476,855","1,534,746","1,430,279","1,478,715","1,359,876","1,399,483","1,287,365","1,325,974","1,227,792","1,263,086","1,206,807","1,232,839","1,174,899","1,196,099","1,132,865","1,160,864","1,132,865","1,160,864",
Midwest,All Public Institutions,4,"2,737,642","2,999,153","2,793,012","3,002,442","2,825,377","3,001,300","2,863,760","3,021,092","3,029,379","3,060,151","3,119,710","3,139,949","3,327,373","3,345,987","3,413,003","3,431,579","3,393,423","3,410,751","3,316,153","3,333,436","3,273,165","3,288,249","3,217,047","3,227,624","3,157,549","3,167,899","3,112,751","3,127,555","3,060,896","3,063,795","3,011,452","3,013,431","2,978,737","2,985,753","2,978,737","2,985,753",
Midwest,"All Private, not-for-profit Institutions",5,"719,786","888,633","746,407","910,416","774,700","927,153","804,364","941,969","829,083","961,574","847,116","974,605","926,456","1,000,474","949,560","1,019,406","947,018","1,017,529","945,058","999,843","939,052","986,157","929,891","969,813","918,618","953,455","897,457","938,910","884,394","918,618","910,380","945,050","893,369","929,161","895,778","929,161",
