State or Region,Institution Sector,sector_sort,Fall_2010_Active,Fall_2010_IPEDS_Universe,Fall_2011_Active,Fall_2011_IPEDS_Universe,Fall_2012_Active,Fall_2012_IPEDS_Universe,Fall_2013_Active,Fall_2013_IPEDS_Universe,Fall_2014_Active,Fall_2014_IPEDS_Universe,Fall_2015_Active,Fall_2015_IPEDS_Universe,Fall_2016_Active,Fall_2016_IPEDS_Universe,Fall_2017_Active,Fall_2017_IPEDS_Universe,Fall_2018_Active,Fall_2018_IPEDS_Universe,Fall_2019_Active,Fall_2019_IPEDS_Universe,Fall_2020_Active,Fall_2020_IPEDS_Universe
United States,Overall,1,"19,429,494","21,015,822","19,547,923","20,993,819","19,543,113","20,901,570","19,601,913","20,630,064","19,662,375","20,462,890","19,549,545","20,225,009","19,439,954","20,082,728","19,350,978","19,954,453","19,319,822","19,858,177","19,269,812","19,837,533","19,299,349","19,837,533"
United States,All 4-year Institutions,2,"12,357,984","13,335,251","12,577,109","13,494,131","12,754,081","13,696,094","12,948,694","13,624,091","13,202,762","13,708,688","13,276,262","13,701,264","13,553,520","13,963,733","13,594,788","13,987,440","13,745,809","14,093,457","13,865,034","14,227,657","13,894,571","14,227,657"
United States,All 2-year Institutions,3,"7,071,510","7,680,571","6,970,814","7,499,688","6,789,032","7,205,476","6,653,219","7,005,973","6,459,613","6,754,202","6,273,283","6,523,745","5,886,434","6,118,995","5,756,190","5,967,013","5,574,013","5,764,720","5,404,778","5,609,876","5,404,778","5,609,876"
United States,All Public Institutions,4,"14,846,004","15,142,809","14,884,454","15,110,196","14,760,829","14,958,712","14,695,349","14,823,694","14,630,860","14,732,731","14,565,871","14,648,230","14,579,029","14,664,481","14,519,692","14,597,225","14,499,421","14,565,523","14,461,211","14,531,760","14,461,901","14,531,760"
United States,"All Private, not-for-profit Institutions",5,"3,558,894","3,854,616","3,621,616","3,926,892","3,762,067","4,091,991","3,828,788","4,108,323","3,914,579","4,127,416","3,987,757","4,190,232","3,990,575","4,199,601","4,025,103","4,224,405","4,171,920","4,369,265","4,187,102","4,386,954","4,194,283","4,386,954"
United States,"All Private, for-profit Institutions",6,"1,024,596","2,018,397","1,041,853","1,956,731","1,020,217","1,850,867","1,077,776","1,698,047","1,116,936","1,602,743","995,917","1,386,547","870,350","1,218,646","806,183","1,132,823","648,481","923,389","621,499","918,819","643,165","918,819"
United States,"Public, 4-year",7,"7,829,659","7,924,771","7,987,733","8,047,729","8,058,505","8,161,184","8,121,759","8,188,948","8,272,865","8,325,865","8,379,435","8,423,597","8,765,217","8,814,735","8,832,680","8,883,001","8,971,283","9,012,371","9,087,786","9,127,763","9,088,476","9,127,763"
United States,"Private, not-for-profit, 4-year",8,"3,547,545","3,822,260","3,609,484","3,887,322","3,749,204","4,053,828","3,816,164","4,076,393","3,902,034","4,096,649","3,967,314","4,139,628","3,971,314","4,148,489","4,010,840","4,175,922","4,158,571","4,324,290","4,174,484","4,342,494","4,181,665","4,342,494"
United States,"Private, for-profit, 4-year",9,"980,780","1,588,220","979,892","1,559,080","946,372","1,481,082","1,010,771","1,358,750","1,027,863","1,286,174","929,513","1,138,039","816,989","1,000,509","751,268","928,517","615,955","756,796","602,764","757,400","624,430","757,400"
United States,"Public, 2-year",10,"7,016,345","7,218,038","6,896,721","7,062,467","6,702,324","6,797,528","6,573,590","6,634,746","6,357,995","6,406,866","6,186,436","6,224,633","5,813,812","5,849,746","5,687,012","5,714,224","5,528,138","5,553,152","5,373,425","5,403,997","5,373,425","5,403,997"
