COVID_Worry,COVID_Too_Much_Time,COVID_Lot_Time,COVID_Afraid,COVID_Irritable,COVID_Guilty,COVID_Sad,COVID_Preoccupied,COVID_Stressed
1,2,2,0,80.85,0,63.1,0,70.56
7,7,7,83.1,57.18,100,100,85.92,100
2,5,6,37.82,68.77,57.88,87.97,73.35,59.03
6,7,6,45.56,85.67,15.19,76.5,89.97,98.85
5,5,5,58.39,78.71,24.84,82.58,67.1,72.58
5,4,5,59.6,49.57,58.17,58.74,59.31,47.56
5,5,5,59.03,65.04,21.49,73.64,89.11,68.48
2,2,5,29.35,100,26.77,31.61,68.71,22.9
5,3,5,61.27,29.58,50.14,69.44,56.62,75.35
3,3,3,61.29,65.16,48.06,53.55,52.58,42.26
2,5,2,0,91.41,0,19.86,60.85,60.85
2,2,2,17.77,38.97,1.15,37.82,41.55,28.37
2,5,5,27.74,100,21.94,8.06,59.68,45.81
7,6,6,87.68,68.48,9.17,93.7,53.87,88.54
4,4,3,35.21,80.28,0,33.94,32.54,57.46
5,6,6,61.32,69.34,40.4,73.35,64.76,77.36
1,1,1,0,100,0,0,22.06,0
1,1,4,5.77,81.13,4.08,75.07,8.03,8.31
3,4,4,69.91,71.06,0,69.34,38.4,57.88
3,3,2,11.29,8.06,27.1,63.23,20,7.74
2,1,2,16.45,4.84,0,10.65,9.03,9.03
2,2,5,10,56.45,35.16,17.42,48.06,14.84
7,7,7,70.7,62.25,81.83,91.97,62.54,100
6,6,7,84.19,80.97,82.26,77.74,78.39,84.84
6,7,7,100,100,66.77,79.68,87.42,100
2,2,2,17.04,19.58,0,18.73,10.85,22.54
4,5,5,39.86,100,18.31,60.7,50,41.41
2,2,3,6.62,13.94,0,8.31,8.73,8.17
3,5,4,50,60.7,40,59.58,29.58,39.72
2,5,5,28.65,78.51,18.34,68.77,58.74,37.54
5,6,5,24.64,71.35,8.02,72.78,81.95,78.22
4,6,6,0,65.63,0,49.72,74.65,70.28
2,3,3,11.29,69.35,0,0.32,97.42,1.61
4,4,5,26.36,81.09,11.46,75.36,71.06,24.64
2,3,4,34.04,80.38,41.5,69.53,46.29,94.74
3,1,1,0,0,0,6.45,14.52,0
2,5,6,17.85,0.01,2.97,72.21,65.71,18.64
5,6,6,60.14,29.01,0,60.56,39.44,81.13
5,5,6,74.52,71.94,25.81,70.65,56.45,100
5,6,6,29.72,100,16.34,38.87,36.34,40.56
5,6,5,100,90.28,80.7,100,71.69,100
4,6,5,76.45,65.81,52.58,35.16,57.42,81.29
5,7,7,39.58,40,0,100,69.72,60.42
2,5,2,37.82,42.98,2.87,16.62,37.82,69.63
1,1,1,3.15,100,1.15,53.01,16.33,18.91
2,3,5,37.42,100,17.74,81.94,26.13,48.71
4,5,5,38.39,100,18.06,73.23,66.45,76.13
4,3,3,48.39,47.74,58.39,48.39,68.06,59.68
6,4,6,70.2,82.23,63.32,100,5.73,100
2,2,5,40.97,0,0,61.29,27.42,28.39
