State,Sector,sector_sort,year,total_enrollment
United States,Overall,1,Fall_2010_Active,"19,429,494"
United States,All 4-year Institutions,2,Fall_2010_Active,"12,357,984"
United States,All 2-year Institutions,3,Fall_2010_Active,"7,071,510"
United States,All Public Institutions,4,Fall_2010_Active,"14,846,004"
United States,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"3,558,894"
United States,"All Private, for-profit Institutions",6,Fall_2010_Active,"1,024,596"
United States,"Public, 4-year",7,Fall_2010_Active,"7,829,659"
United States,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"3,547,545"
United States,"Private, for-profit, 4-year",9,Fall_2010_Active,"980,780"
United States,"Public, 2-year",10,Fall_2010_Active,"7,016,345"
United States,"Private, not-for-profit, 2-year",11,Fall_2010_Active,"11,349"
United States,"Private, for-profit, 2-year",12,Fall_2010_Active,"43,816"
Midwest,Overall,1,Fall_2010_Active,"4,660,642"
Midwest,All 4-year Institutions,2,Fall_2010_Active,"3,094,781"
Midwest,All 2-year Institutions,3,Fall_2010_Active,"1,565,861"
Midwest,All Public Institutions,4,Fall_2010_Active,"3,413,003"
Midwest,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"949,560"
Midwest,"All Private, for-profit Institutions",6,Fall_2010_Active,"298,079"
Midwest,"Public, 4-year",7,Fall_2010_Active,"1,853,585"
Midwest,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"947,860"
Midwest,"Private, for-profit, 4-year",9,Fall_2010_Active,"293,336"
Midwest,"Public, 2-year",10,Fall_2010_Active,"1,559,418"
Midwest,"Private, not-for-profit, 2-year",11,Fall_2010_Active,"1,700"
Midwest,"Private, for-profit, 2-year",12,Fall_2010_Active,"4,743"
Northeast,Overall,1,Fall_2010_Active,"3,329,457"
Northeast,All 4-year Institutions,2,Fall_2010_Active,"2,437,160"
Northeast,All 2-year Institutions,3,Fall_2010_Active,"892,297"
Northeast,All Public Institutions,4,Fall_2010_Active,"1,996,735"
Northeast,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"1,288,365"
Northeast,"All Private, for-profit Institutions",6,Fall_2010_Active,"44,357"
Northeast,"Public, 4-year",7,Fall_2010_Active,"1,116,627"
Northeast,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"1,282,481"
Northeast,"Private, for-profit, 4-year",9,Fall_2010_Active,"38,052"
Northeast,"Public, 2-year",10,Fall_2010_Active,"880,108"
Northeast,"Private, not-for-profit, 2-year",11,Fall_2010_Active,"5,884"
Northeast,"Private, for-profit, 2-year",12,Fall_2010_Active,"6,305"
South,Overall,1,Fall_2010_Active,"6,421,385"
South,All 4-year Institutions,2,Fall_2010_Active,"4,164,936"
South,All 2-year Institutions,3,Fall_2010_Active,"2,256,449"
South,All Public Institutions,4,Fall_2010_Active,"5,435,805"
South,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"870,304"
South,"All Private, for-profit Institutions",6,Fall_2010_Active,"115,276"
South,"Public, 4-year",7,Fall_2010_Active,"3,194,851"
South,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"868,348"
South,"Private, for-profit, 4-year",9,Fall_2010_Active,"101,737"
South,"Public, 2-year",10,Fall_2010_Active,"2,240,954"
South,"Private, not-for-profit, 2-year",11,Fall_2010_Active,"1,956"
South,"Private, for-profit, 2-year",12,Fall_2010_Active,"13,539"
West,Overall,1,Fall_2010_Active,"5,018,010"
West,All 4-year Institutions,2,Fall_2010_Active,"2,661,107"
West,All 2-year Institutions,3,Fall_2010_Active,"2,356,903"
West,All Public Institutions,4,Fall_2010_Active,"4,000,461"
West,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"450,665"
West,"All Private, for-profit Institutions",6,Fall_2010_Active,"566,884"
West,"Public, 4-year",7,Fall_2010_Active,"1,664,596"
West,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"448,856"
West,"Private, for-profit, 4-year",9,Fall_2010_Active,"547,655"
West,"Public, 2-year",10,Fall_2010_Active,"2,335,865"
West,"Private, not-for-profit, 2-year",11,Fall_2010_Active,"1,809"
West,"Private, for-profit, 2-year",12,Fall_2010_Active,"19,229"
Alabama,Overall,1,Fall_2010_Active,"293,893"
Alabama,All 4-year Institutions,2,Fall_2010_Active,"203,572"
Alabama,All 2-year Institutions,3,Fall_2010_Active,"90,321"
Alabama,All Public Institutions,4,Fall_2010_Active,"251,980"
Alabama,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"22,773"
Alabama,"All Private, for-profit Institutions",6,Fall_2010_Active,"19,140"
Alabama,"Public, 4-year",7,Fall_2010_Active,"169,269"
Alabama,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"22,773"
Alabama,"Private, for-profit, 4-year",9,Fall_2010_Active,"11,530"
